pair_id,source_a,title_a,source_b,title_b,jaccard,band,same_topic
18,researchwap,design and implementation of online student clearance system a case study of caritas university,eduprojecttopics,design implementation online clearing system graduating students,0.625,0.6,1
19,projectclue,effect of sales promotion as a tool for achieving customers brand loyalty in the table water industry,eduprojecttopics,sales promotion a tool for achieving customers brand loyalty in the table water industry,0.909,0.9,0
20,projectclue,a critically investigation into the effect of pay satisfaction on teacher s commitment in some selected secondary schools,researchwap,a critically investigation into the effect of pay satisfaction on teachers commitment in some selected secondary schools,0.9,0.9,1
21,projectclue,a survey of examination malpractice among secondary school students,researchwap,an investigation into the causes of examination malpractice among secondary school students,0.625,0.6,1
22,projectclue,importance of conservation of natural resources a case study of some selected villages in ovia south west local government area,eduprojecttopics,natural resources their importance and ways of conservation,0.8,0.8,1
23,projectclue,the impact of total quality management on corporate productivity in nigerian bottling company,eduprojecttopics,impact of total quality management on corporate productivity in nigerian bottling company kaduna,0.9,0.9,1
24,researchwap,design and implementation of an online store management system,eduprojecttopics,design and implementation of online disaster report management system,0.625,0.6,1
25,researchwap,a quality analysis of the thickness of part and corrugated asbestos roofing sheets of emenite limited enugu,eduprojecttopics,a quality analysis of the thickness of part and corrugated asbetes roofing sheets of emenite limited,0.75,0.7,1
26,projectclue,trends of academic performance of junior secondary school students in integrated science mathematics and computer science from year 2000 2003,eduprojecttopics,trends of academic performance of junior secondary school students in integrated science mathematics and computer science from year 2002 2006 in uyo metropolis a case study of jss 3 studen,0.857,0.8,1
27,researchwap,the problems of small scale business on the nigerian economy a case study of ola olu ventures taiwo ilorin,eduprojecttopics,problems of management of small scale business,0.571,0.5,0
28,projectclue,the role of corporate citizens in national development,eduprojecttopics,the role and evaluation of corporate citizens in national development,0.833,0.8,1
29,projectclue,assessment of earnings management and corporate governance practices in nigeria,eduprojecttopics,corporate governance earnings management practices,0.714,0.7,0
30,projectclue,an assessment of risk management and credit administration in banks,researchwap,assessment of risk management and credit administration in union bank plc,0.75,0.7,1
31,projectclue,contraceptive use among female students of university of benin benin city,eduprojecttopics,contraceptive use among female students of university,0.667,0.6,1
32,projectclue,problem of management public enterprises in nigeria,eduprojecttopics,management problems of public enterprises,0.8,0.8,1
33,projectclue,the influence of family background on the academic performance of physics students,eduprojecttopics,the influence of economic background on students academic performance,0.625,0.6,0
34,projectclue,effect of methanolic leaf extract of acalypha wilkesiana on weight parameters in paracetamol induced hepatoxicity in male wistar rats rats,researchwap,effect of methanolic leaf extract on acalypha wilkesiana on weight parameters in paracetamol induced hepatoxicity in male rats,0.929,0.9,1
35,projectclue,a quality analysis of the thickness of part and corrugated asbetes roofing sheets of emenite limited enugu,eduprojecttopics,a quality analysis of the thickness of part and corrugated asbetes roofing sheets of emenite limited,0.909,0.9,1
36,researchwap,motor insurance practice in nigeria problems and prospects,eduprojecttopics,marketing of motor insurance policies in nigeria problems and prospects,0.625,0.6,0
37,projectclue,an investigation into the relationship between teaching methods and academic performance of secondary school students in nigeria,eduprojecttopics,an investigation into the relationship between teaching methods and academic performance of secondary school students,0.909,0.9,1
38,projectclue,the accounting information as a tool for management decision making a case study of alo aluminum,researchwap,the role of accounting information in management decision making,0.714,0.7,1
39,projectclue,influence of peer group on the academic performance of students in some selected secondary schools,researchwap,effects of truancy on academic performance of secondary school students,0.5,0.5,0
40,projectclue,effect of motivation on employee performance,eduprojecttopics,motivation its effect on employees performance in a business organization,0.667,0.6,1
41,researchwap,comparative analysis of pipe borne water and other sources of water,eduprojecttopics,comparative analysis of sources of water and water borne diseases,0.625,0.6,1
42,projectclue,the effect of exchange rate fluctuations on the nigeria economy,eduprojecttopics,the effect of exchange rate fluctuation on the nigeria manufacturing sector1986 2010,0.625,0.6,1
43,projectclue,impact of school facilities on student academic performance case study of some selected secondary school,researchwap,impact of learning environment on the students academic performance,0.5,0.5,1
44,projectclue,the contribution of insurance companies to the growth of small and medium scale businesses in uyo a cases study of nicon,eduprojecttopics,the contribution of insurance companies to the growth of small and medium scale businesses in uyo,0.818,0.8,1
45,projectclue,the impact of tax incentives on industrial sector development in nigeria,eduprojecttopics,the effect of tax incentives in the industrial development in nigeria,0.625,0.6,1
46,projectclue,problem and prospect of agriculture in the economic development of nigeria a case study of edo state,eduprojecttopics,the problems and prospects of agriculture in the economic development,0.833,0.8,1
47,projectclue,the impact of the press in shaping nigerian political structure a case study of enugu state,eduprojecttopics,the impact of nigerian press on shaping the countrys political structure,0.857,0.8,1
48,projectclue,a study of the causes of teenage pregnancy among female students and its effects on their academic performance in secondary school in ikpoba okha local government area edo state,researchwap,the effect of broken home on the academic performance of secondary school students in evboesi grammar school orhionmwon local government area of edo state,0.5,0.5,0
49,projectclue,impact of e learning on the academic performance of undergraduate students a case study of national teachers institute bdps centers ondo state,researchwap,the impact of e learning on academic performance,0.714,0.7,1
50,projectclue,the impact of total quality management on corporate productivity,eduprojecttopics,the impact of the total quality management tqm on productivity,0.714,0.7,0
51,projectclue,the impact of federal government s economic policy measures on nigeria s balance of payments,eduprojecttopics,the impact of federal governments economic policy measures on nigerias balance of payments,0.9,0.9,1
52,projectclue,proper accounting information as a tool for management decision making a case study of alo aluminum,eduprojecttopics,accounting information as a tool for management decision making in organization,0.75,0.7,1
53,researchwap,a survey of the causes and effect of examination malpractice among students,eduprojecttopics,causes and effects of examination malpractice,0.667,0.6,1
54,projectclue,a correlation of students academic performance in biology and the quality of biology teachers in senior secondary schools in ifo local government area ogun state,researchwap,a correlation of students academic performance in biology and the quality of biology teachers in senior secondary schools,0.625,0.6,1
55,projectclue,impact of training development on staff efficiency in the banking sector of nigeria,researchwap,the impact of staff development on the productivity of workers in the banking sector a case study of fcmb uyo branch,0.5,0.5,0
56,researchwap,the effect of inflation on the economic growth of nigeria,eduprojecttopics,effect of unemployment on economic growth in nigeria,0.667,0.6,0
57,projectclue,the role of local government in rural development in nigeria,eduprojecttopics,local government and rural development in nigeria,0.833,0.8,1
58,projectclue,the effect of indiscipline on academic performance of students in secondary school,researchwap,the effect of large class size in the academic performance of students in english in some selected junior secondary school,0.5,0.5,0
59,projectclue,causes effects and 21st century solution to examination malpractice among secondary school students,researchwap,causes effects and 21 century solution to examination malpractice among secondary school students,0.9,0.9,1
60,projectclue,the study of the application of business social accounting techniques towards estimating the distribution of household wealth in nigeria a case study of anamco enugu,eduprojecttopics,the study of the application of business social accounting techniques towards estimating the distribution of household wealth,0.9,0.9,1
61,projectclue,econometrics analysis on the monthly income generated from sales of legend guilder and maltina drinks in nigeria between 2005 2009,eduprojecttopics,econometrics analysis on the monthly income generated from sales of legend guilder and maltina drinks in nigeria,0.917,0.9,1
62,projectclue,the contributions of banks to the development of small scale enterprises in nigeria,researchwap,impact of commercial banks on small and medium scale enterprises development in nigeria,0.6,0.6,1
63,researchwap,effects of polygamy on academic performance of students,eduprojecttopics,effects of stress on the academic performance secondary school students,0.5,0.5,0
64,projectclue,assessment of early childhood care education providers adherence to the provisions of national minimum standard on early childhood education,researchwap,assessment of early childhood care education providers adherence to the provisions of national minimum standard on earlychildhood education,0.917,0.9,
65,projectclue,the impact of capital market financing on economic development of nigeria,eduprojecttopics,the efficiency of capital market in the economic development of nigeria,0.625,0.6,1
66,projectclue,the effect of indiscipline on academic performance of students in secondary school,researchwap,provision and utilization of school facilities and students academic performance in secondary schools,0.5,0.5,0
67,projectclue,effect of two teaching methods of computer science on academic achievement of junior secondary school students,researchwap,the effects of two teaching methods on academic achievement of junior secondary school students in integrated science and computer science,0.923,0.9,1
68,projectclue,drug abuse and students academic performances in senior secondary school,eduprojecttopics,drug and alcohol abuse and its effect among secondary school students,0.5,0.5,1
69,projectclue,the impact of monetary policy on industrial growth in nigeria,eduprojecttopics,an econometric study of the relative impact of monetary and fiscal policies on industrial output in nigeria,0.5,0.5,1
70,projectclue,influence of parental socio economic status on the incidence of child abuse and neglect among primary school pupils,researchwap,influence of parental socio economic status on the incidence of child abuse and neglect among primary school pupils in aguata education zone of anambra state,0.706,0.7,1
71,projectclue,the role of computer in fraud detection and prevention a case study of first bank nigerian plc okpara avenue enugu,eduprojecttopics,the role of auditors in the detection and prevention of fraud in some selected business organizations,0.5,0.5,0
72,projectclue,an assessment of mass media s role in supporting women employment campaign in nigeria,eduprojecttopics,an assessment of mass medias role in supporting women employment campaign in nigeria,0.9,0.9,1
73,projectclue,investigation into academic indiscipline and failure among secondary school students in economics,eduprojecttopics,an investigation into academic indiscipline and failure among secondary school students in english language mathematics igbo language agricultural science economics,0.571,0.5,0
74,projectclue,effects of video taped instructional strategy on the academic performance of secondary school students,eduprojecttopics,effect of constructivist based teaching strategy on academic performance of junior secondary school students,0.538,0.5,0
75,researchwap,influence of social networking on business education students academic performance,eduprojecttopics,the influence of social networking sites on the academic performance of secondary school students,0.545,0.5,0
76,projectclue,the influence of motivation on the academic performance of students in selected secondary schools,researchwap,influence of motivation on secondary school students academic performance in ilorin metropolis,0.778,0.7,1
77,projectclue,the use of reflective thinking in teaching english language to children in nigeria,researchwap,the use of reflective thining in teaching english language to children in nigeria,0.75,0.7,1
78,projectclue,effects of recession on youth unemployment in nigeria,eduprojecttopics,cause and effect of youth unemployment in nigeria,0.667,0.6,0
79,projectclue,the problems of banking habits of the rural communities in nigeria,eduprojecttopics,problems of banking habits rural communities,0.833,0.8,1
80,projectclue,factors that influence choice career among secondary school students,eduprojecttopics,factors affecting choice of career among secondary school students,0.75,0.7,1
81,projectclue,the impact of segmentation on customer statistaction a case study of nbc plc in enugu metropolis,eduprojecttopics,the impact of segmentation on customer statisfaction,0.6,0.6,1
82,projectclue,an examination of the challenges in implementing total quality management tqm in the hospitality industry in calabar a study of channel view hotel calabar business management,eduprojecttopics,an examination of the challenges in implementing total quality management tqm in the hospitality industry,0.9,0.9,1
83,projectclue,effect of corporate governance and external auditor s report in non financial institution,eduprojecttopics,effect of corporate governance and external auditors report in non financial institution,0.9,0.9,1
84,researchwap,small and medium scale business enterprises and economic growth of nigeria a case study of vono product plc,eduprojecttopics,the factors that have impacted growth and development in small and medium scale enterprises in nigeria,0.5,0.5,0
85,projectclue,the funding and implementation of universal basic education in nigeria,researchwap,appraisal of the implementation of universal basic education nigeria,0.714,0.7,1
86,projectclue,a comprehensive analysis of the effect of regulation and deregulation of exchange rate on nigeria s foreign trade,eduprojecttopics,a comprehensive analysis of the effect of regulation and deregulation of exchange rate on nigerias foreign trade,0.909,0.9,1
87,projectclue,effects of stress on the academic performance of students using the faculty of education of the university of benin students as a case study,researchwap,effects of polygamy on academic performance of students,0.667,0.6,0
88,projectclue,the role of commercial banks in the economic development of nigeria,eduprojecttopics,role of nigeria agricultural cooperative bank development agricultural,0.5,0.5,0
89,projectclue,the role of accounting information for effective management decision making in an organization,eduprojecttopics,the use of financial accounting information system for management decision making,0.5,0.5,1
90,projectclue,influence of personality traits on academic performance among secondary school students a case study of ibadan south west lga oyo state,eduprojecttopics,the influence of social networking sites on the academic performance of secondary school students,0.545,0.5,0
91,projectclue,the impact of internal control systems on the performance of small and medium scale enterprises in ilorin metropolis,eduprojecttopics,the impact of internal control system on the performance of small and medium enterprises in ilorin metropolis,0.909,0.9,1
92,projectclue,impact of vocational guidance on career choice of secondary students (a case study of enugu north),eduprojecttopics,impact of vocational guidance on career choice of secondary school students,0.875,0.8,1
93,projectclue,the impact of export promotion of economic growth in nigeria,eduprojecttopics,the impact of nonoil export on economic growth in nigeria 1986 2010,0.714,0.7,1
94,researchwap,business organizations and managerial efficiency of small scale enterprise,eduprojecttopics,effect of business organizations and managerial efficiency on small scale enterprises,0.875,0.8,1
95,researchwap,the effect of interest rate on investment and money demand in nigerian economy,eduprojecttopics,a proposal on the effect of interest rate on investment and money demand in nigerian economy,0.889,0.8,1
96,projectclue,impact of internet on the economy of nigeria,eduprojecttopics,the impact of petroleum on economy of nigeria,0.6,0.6,0
97,projectclue,an examination of the source and uses of local government fund in nigeria,eduprojecttopics,examination source uses local government fund,0.857,0.8,1
98,projectclue,the capital market and it s impact on the nigeria economy with particular emphasis on the stock excahnge,eduprojecttopics,the capital market and its impact on the nigeria economy with particular emphasis on the stock excahnge,0.9,0.9,1
99,projectclue,the role of local government in rural development in nigeria,researchwap,local government as a veritable instrument for rural development,0.5,0.5,1
100,projectclue,the impact of public accountant in the implementation of accountability probity and transparency in the federal civil services,eduprojecttopics,impact of public accountants in the implementation of accountability and transparency in the federal civil service,0.9,0.9,1
101,projectclue,the effect of external debt on economic growth of nigeria 1981 2018,eduprojecttopics,effect of public debt on economic growth in nigeria 2000 2022,0.714,0.7,1
102,projectclue,effect of material inspection on product quality in power holding company of nigeria phcn port harcourt,eduprojecttopics,effect of material inspection on product quality in power holding company of nigeria phcn kaduna,0.769,0.7,0
103,projectclue,factors influencing choice of school subjects among junior secondary schools,researchwap,the factors influencing choice of school subjects by senior secondary school students,0.667,0.6,0
104,projectclue,impact of insecurity on economic development of nigeria,eduprojecttopics,the impact of nta in the economic development,0.5,0.5,0
105,projectclue,the effect of bullying on junior secondary school students as it affect their academic performance,researchwap,effect of bullying on academic performance of junior secondary school students,0.889,0.8,1
106,projectclue,role of banks in small and medium scale enterprises a case study of commercial banks in benue state,researchwap,the role of small and medium scale enterprises in unemployment reduction in nigeria,0.556,0.5,0
107,projectclue,comparative analysis of microbial load of the enugu main water production and water available to imt campus ii hostel,eduprojecttopics,comparative analysis of microbial load of the main water production and water available to imt campus ii hostel,0.923,0.9,1
108,projectclue,comparison of social media and radio stations n the assessment of news information,eduprojecttopics,comparison of social media and radio stations on the assessment of news information,0.889,0.8,1
109,projectclue,the impact of student population on rental value around the polytechnic neighbouhood case study of rufus giwa polythecnic owo,researchwap,the impact of student population on rental value around the polytechnic neighborhood case study of rufus giwa polytechnic owo,0.778,0.7,1
110,projectclue,the role of continuous assessment in teaching and learning of economics in enugu south lga of enugu state,researchwap,the role of continuous assessment in teaching and learning of economics in enugu south lga,0.9,0.9,1
111,researchwap,corporate governance and firm performance empirical evidence from selected listed companies in nigeria,eduprojecttopics,corporate governance and performance of telecommunication companies in nigeria,0.5,0.5,0
112,projectclue,challenges facing information andcommunication technology as it affects communication in federal college of education abeokuta,researchwap,challenges facing information and communication technology as it affects communication in federal college of education abeokuta,0.909,0.9,1
113,projectclue,the problems of hostel management and accommodation in higher institutions in nigerian,eduprojecttopics,the problems of hostel management and accommodation in higher institutions in nigeria,0.75,0.7,1
114,projectclue,conflict resolution as a tool for effective management in an organization some selected firms,eduprojecttopics,conflict management and resolution in business organization,0.5,0.5,1
115,researchwap,effects of truancy on academic performance of secondary school students,eduprojecttopics,effects of stress on the academic performance secondary school students,0.75,0.7,0
116,projectclue,students attitude towards the study of economics in nigerian secondary schools,researchwap,students attitude towards the study of economics in secondary schools,0.833,0.8,1
117,projectclue,the role of small scale business enterprises to the economics development,eduprojecttopics,the small scale enterprises and economic development of nigeria,0.625,0.6,1
118,projectclue,the effect of training and development on employee performance a case study of rosemore hotels uyo,eduprojecttopics,effect of training and development on the performance of bank employees in nigeria,0.714,0.7,0
119,projectclue,the effect of drug use and abuse on the academic performance of secondary school students,eduprojecttopics,problems of drug abuse on student academic performance in secondary schools,0.778,0.7,1
120,projectclue,the impact of staff training and development on organizational performance a case study of federal ministry of environment,eduprojecttopics,the impact of training and development on organizational performance,0.833,0.8,1
121,researchwap,effect of instructional video on academic performance of social studies students in secondary schools,eduprojecttopics,influence of social media on academic performance of secondary school students,0.5,0.5,0
122,projectclue,internal control system as a neccessity to survival and growth in public organisation,eduprojecttopics,internal control system as a necessity to survival and growth in public organisation,0.778,0.7,1
123,projectclue,the impact of agricultural development on nigeria economic growth,eduprojecttopics,impact community banks economic growth development nigeria,0.625,0.6,1
124,projectclue,organizational climate and teaching effectiveness in public secondary schools in imo state,eduprojecttopics,organizational climate and teaching effectiveness in public secondary schools,0.778,0.7,1
125,researchwap,design and implementation of an online vehicle and plate number registration and identification system,eduprojecttopics,design implementation online vehicle plate number registration identification system nigeria,0.9,0.9,1
126,projectclue,the impact of family background on the occupational aspirations od secondary school students a case study of umuahia lga abia state,researchwap,the impact of family background on the occupational aspirations of secondary school students,0.889,0.8,1
127,projectclue,social factors affecting effective teaching and learning of commerce marketing in senior secondary schools in abuja,eduprojecttopics,social factors affecting effective teaching and learning of commerce marketing in senior secondary schools,0.917,0.9,1
128,researchwap,the effect of the use of science instructional materials on the performance of students,eduprojecttopics,effects of instructional materials on computer students performance,0.714,0.7,1
129,projectclue,influence of personality traits on academic performance among secondary school students a case study of ibadan south west lga oyo state,researchwap,the influence of child labour on academic performance of secondary school students a case study of ila local government,0.6,0.6,0
130,projectclue,an investigation into the causes of poor academic performance among student in nigeria,researchwap,an investigation into the causes of poor academic performance among student,0.857,0.8,1
131,projectclue,the effect of gender on career choice of secondary school students,researchwap,the effect of gender stereotyping on career choice among secondary school students,0.875,0.8,1
132,projectclue,an investigation of the influence of teachers classroom questions on the achievements of students in mathematics in some selected junior secondary schools in kaduna north local government area of,researchwap,an investigation of the influence of teachers classroom questions on the achievements of students in mathematics in some selected junior secondary schools in kaduna north local government area of kaduna state,0.941,0.9,1
133,projectclue,influence of classroom size on academic performance of secondary school students in nigeria,researchwap,the influence of alcohol on academic performance of secondary school students,0.6,0.6,0
134,researchwap,effect of audit committee expertise on financial reporting quality of listed companies in nigeria,eduprojecttopics,effect of audit on financial performance of listed manufacturing company in nigeria,0.5,0.5,1
135,projectclue,relative academic performance of junior secondary school students in computer science and integrated science from 2004 2008,researchwap,academic performance of the junior secondary school students in integrated and computer science from 2004 2008,0.9,0.9,1
136,projectclue,effects of human relations policies on the performance of secretaries (a case study of emenite plc and amah breweries ngwo),eduprojecttopics,the effects of human relations policies on the performance of secretaries in emenite plc,0.75,0.7,1
137,researchwap,assessment of parents and teachers attitude towards early childhood care development and education programme eccde,eduprojecttopics,assessment of parents and teachers attitude towards early childhood care development and education eccde programme in sokoto state nigeria,0.786,0.7,1
138,projectclue,human capital development strategies for effective teacher s performance in economics education in imo state university,researchwap,human capital development strategies for effective teachers performance in economics education in imo state university,0.923,0.9,1
139,projectclue,effects of recession on youth unemployment in nigeria,eduprojecttopics,unemployment and its effects on nigeria youths,0.8,0.8,0
140,projectclue,the effect of instructional materials on the learning and teaching of economics in secondary schools in nigeria,eduprojecttopics,the effect of instructional materials on the learning and teaching of economics in senior secondary schools in nigeria,0.9,0.9,1
141,projectclue,causes and effect of mass failure in junior secondary school certificate examination jssce,researchwap,causes and effect of mass failure of mathematics in junior secondary school certificate examination,0.818,0.8,1
142,projectclue,the role of small scale enterprises in economic growth of nigeria a case study of bayutech gold chalk industry in ondo state,researchwap,the impact of small and medium scale enterprises on economic growth in nigeria 1982 2012,0.667,0.6,1
143,projectclue,evaluating the impact of human resources accounting practices on the performance of manufacturing industries in nigeria,eduprojecttopics,assessing the impact of human resources accounting practices on the performance of manufacturing industries in nigeria,0.818,0.8,1
144,projectclue,design and implementation of computerized livestock management information system,researchwap,design and implementation of a computerized career guidance information system,0.556,0.5,0
145,projectclue,multi national companies and their social responsibilities in their host communities a case study of shell company port harcourt river state,eduprojecttopics,multi national companies and other social responsibilities in their host communities,0.875,0.8,1
146,projectclue,the impact of the capital market on the economic growth in nigeria,eduprojecttopics,impact of capital market performance on economic growth in nigeria,0.857,0.8,1
147,projectclue,the effect of human resource development on employee productivity in seven up bottling company kaduna,eduprojecttopics,the effect of human resource development on employee productivity in seven up bottling company,0.909,0.9,1
148,projectclue,factors militating against girl child education in kaduna north local government,researchwap,factors militating against girl child education,0.6,0.6,1
149,projectclue,effect of secondary school students disciplinary problem on academic performance,eduprojecttopics,the effect of career choice on the academic performance of secondary school students,0.6,0.6,0
150,projectclue,influence of parental status on students academic performance in selected secondary school,researchwap,influence of parental separation on academic performance of secondary school students,0.778,0.7,1
151,researchwap,the influence of family background variables on the academic performance of students,eduprojecttopics,the influence of economic background on students academic performance,0.625,0.6,1
152,projectclue,patterns of instagram usage among undergraduate students of delta state university abraka,eduprojecttopics,patterns of instagram usage among undergraduate students of imo state university owerri,0.636,0.6,1
153,projectclue,staff induction and training programme for improving workers efficiency,eduprojecttopics,an evaluation of staff induction and training programmes improving workers efficiency,0.875,0.8,1
154,researchwap,influence of the library on the academic performance of secondary school students,eduprojecttopics,influence of culture on academic performance of secondary school students,0.75,0.7,0
155,researchwap,factors affecting choice of career among senior secondary school students,eduprojecttopics,factors affecting choice of career among secondary school students,0.875,0.8,1
156,projectclue,an assessment of human resource development and productivity in the civil service,eduprojecttopics,human resource development and productivity in the civil service,0.857,0.8,1
157,projectclue,the effects of computerized accounting system on the performance of banking industry in nigeria study of selected banks in enugu metropolics,researchwap,the effects of computerized accounting system on the performance of the banking industry in nigeria study of selected banks in enugu metropolis,0.833,0.8,1
158,projectclue,role of commercial bank in industrial development of onitsha,eduprojecttopics,the role of commercial banks in development,0.667,0.6,1
159,projectclue,inventory control as an effective tool for cost control in an organisation a case study of cadbury nigeria plc,eduprojecttopics,inventory control as an effective tool for cost control in an organization,0.714,0.7,1
160,projectclue,the effect of bullying on academic performance of students in selected secondary schools,researchwap,effects of social environment on academic performances of students in junior secondary schools,0.6,0.6,0
161,projectclue,the impact of strategic human resource management on corporate performance of trancorp hotel calabar,eduprojecttopics,the impact of strategic human resource management on corporate performance of trancorp hotel,0.9,0.9,1
162,projectclue,internal control system as a tool for efficiency in the management of small and medium scale enterprises in ilorin,eduprojecttopics,internal control system as a tool for efficiency in the management of small and medium scale enterprises,0.909,0.9,1
163,projectclue,an examination of sources of stress among secondary school students in benin city and environ,researchwap,an examination of sources of stress among secondary school students,0.667,0.6,1
164,projectclue,the effect of improvisation of instructional materials for biology instruction in senior secondary schools,researchwap,effect of students improvised instructional materials on senior secondary school students achievement in biology,0.583,0.5,1
165,projectclue,assessment of teacher s skills in supporting visually impaired children in primary schools a case study paceli schools,researchwap,assessment of teachers skills in supporting visually impaired children in primary schools,0.9,0.9,1
166,projectclue,democracy and political participation in nigeria a case study of asaba lga,eduprojecttopics,democracy and political crisis in nigeria,0.6,0.6,1
167,projectclue,a pragmatic analysis of president goodluck jonathan s inaugural speech nigeria our nation in mourning,eduprojecttopics,a pragmatic analysis of president goodluck jonathans inaugural speech nigeria our nation in mourning,0.917,0.9,1
168,projectclue,impact of storage and material handling on store efficiency,researchwap,the impact of material handling equipment on store activities a case study of doyin investment limited company,0.5,0.5,1
169,researchwap,effect of globalization of information technology on office services in n nigeria,eduprojecttopics,effect of globalization of information technology on office services in nigeria,0.875,0.8,1
170,projectclue,design and implementation of computerized student registration system,eduprojecttopics,design and implementation of a computerized system for immigration service,0.5,0.5,0
171,projectclue,influence of ict on modern day practice of broadcast journalism,eduprojecttopics,the influence of ict on modern day practice of broadcast journalism in ogun state,0.778,0.7,1
172,projectclue,asset valuation for research and development purpose,eduprojecttopics,assets valuation for research and development,0.8,0.8,1
173,projectclue,the impact of industrialization on economic growth and development in nigeria,eduprojecttopics,impact of capital market development on economic growth in nigeria,0.625,0.6,1
174,projectclue,the impact of job satisfaction on the level of performance a case study of nigerian bottling company plc,eduprojecttopics,impact of motivation and job satisfaction on employees performances,0.571,0.5,1
175,projectclue,the effect of cultism in nigeria tertiary institution,researchwap,cultism in nigerias tertiary institutions a case study of lagos state university,0.8,0.8,1
176,projectclue,factors affecting the choice of teaching as a career among student of faculty of education unizik education,researchwap,factors affecting the choice of teaching as a career among student,0.667,0.6,1
177,researchwap,evaluating the benefits of the hospitality and tourism industry on the socio economic development in onicha ugbo town,eduprojecttopics,benefits of the hospitality and tourism industry on the socio economic development in onicha ugbo town,0.909,0.9,1
178,projectclue,problems of commercial banks loan syndication on the nigerian economic and the impact of micro economic variables on gdp in nigeria economy,eduprojecttopics,problems o commercial banks loan syndication nigerian economic impact micro economic variables gdp nigeria economy,0.929,0.9,1
179,projectclue,drug abuse and students academic performances in senior secondary school,eduprojecttopics,hooliganism gangsterism and students academic performance in senior secondary schools,0.6,0.6,1
180,projectclue,influence of godfatherism in nigerian politics in the fourth republic,eduprojecttopics,the influence of godfatherism in nigeria politics in the fourth republic,0.714,0.7,1
181,projectclue,the advantage of value added tax in terms of revenue generation,eduprojecttopics,the effect of value added tax on revenue generation of government,0.556,0.5,1
182,projectclue,students academic performances and the school facilities in some private secondary schools,researchwap,comparative study of students academic performance in chemistry between private and public secondary schools a case study of 10 selected schools in eti osa local government area lagos,0.545,0.5,1
183,projectclue,credit management and incidence of bad debts in nigeria commercial banks,researchwap,management of bad debts in microfinance banks in nigeria a case study of six selected microfinance banks in anambra state,0.556,0.5,0
184,researchwap,impact of microfinance in grassroots development,eduprojecttopics,the impact of microfinance on enterepreneurial development,0.6,0.6,0
185,projectclue,design and implementation of an nysc posting system,eduprojecttopics,design implementation automated nysc posting system,0.833,0.8,1
186,projectclue,causes and effect of lateness to school,researchwap,causes and effect of lateness to school in primary school,0.8,0.8,1
187,projectclue,impact of information technology on banking operations in nigeria case study of commercial banks in dekina l g a kogi state,eduprojecttopics,the impact of information technology on the banking industry in nigeria,0.714,0.7,1
